facility_type,facility_id,name,address,location_description,latitude,longitude,ownership,ownership_description,maintained,permit_types,is_permit_parking,payment_device,payment_type,classification,days_of_enforcement,enforcement_times,duration_restriction,classification2,days_of_enforcement2,enforcement_times2,max_parking_spaces,has_accessible_spaces,accessible_space_count,is_commuter_parking,is_ev_charging,seasonal_restriction,on_overnight_ban_map,overnight_ban_area_type,guideline_url,weblink,description,source_layer,source_object_id
lot,66N,Lot 66N,636 North Blvd,636 North Blvd - Southside of North Blvd from Euclid Ave to Bishop Quarter Ln,41.8873564,-87.7911889,Village of Oak Park,,Village of Oak Park,24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_66n.pdf,,,42,3447
lot,71E,Lot 71E,440 S Euclid Ave,440 S Euclid Ave - Eastside of Euclid north of Madison,41.879835,-87.7919565,Village of Oak Park,,Village of Oak Park,Night,0,,,,,,,,,,,,,,,,Y,ON-STREET,,,,42,3505
lot,71W,Lot 71W,441 S Euclid Ave,441 S Euclid Ave - Westside of Euclid north of Madison,41.8826119,-87.7981207,Village of Oak Park,,Village of Oak Park,Night,0,,,,,,,,,,,,,,,,Y,ON-STREET,,,,42,3490
lot,SB1,Lot SB1,36 South Blvd,36 South Blvd - Northside of South Boulevard between Humphrey to Taylor,41.887437,-87.778104,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb1.pdf,,,42,3483
lot,SB2,Lot SB2,238 South Blvd,238 South Blvd - Northside of South Boulevard between Harvey and Cuyler,41.8871593,-87.7829393,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb2.pdf,,,42,3470
lot,SB3,Lot SB3,400 South Blvd,400 South Blvd - Northside of South Boulevard between Ridgeland and Elmwood,41.8871236,-87.7857097,Village of Oak Park,,Village of Oak Park,Night; Meters,1,METER,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb3.pdf,,,42,3442
lot,SB4,Lot SB4,500 South Blvd,500 South Blvd - Northside of South Blvd between Elmwood and East Ave,41.8869324,-87.7885788,Village of Oak Park,,Village of Oak Park,S3; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb4.pdf,,,42,3472
lot,SB4,Lot SB4,500 South Blvd,500 South Blvd - Northside of South Blvd between Elmwood and East Ave,41.8870034,-87.7871167,Village of Oak Park,,Village of Oak Park,S3; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb4.pdf,,,42,57270
lot,SB5,Lot SB5,600 South Blvd,600 South Blvd - Northside of South Blvd between East Ave and Wesley Ave,41.8870367,-87.7905937,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb5.pdf,,,42,3438
lot,SB6,Lot SB6,700 South Blvd,700 South Blvd - Northside of South Blvd between Euclid and Oak Park Ave,41.8867622,-87.7931032,Village of Oak Park,,Village of Oak Park,Day; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb6.pdf,,,42,3441
lot,SB7,Lot SB7,800 South Blvd,800 South Blvd - Northside of South Blvd between Oak Park Ave and Kenilworth Ave,41.8868668,-87.7957246,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb7.pdf,,,42,3494
lot,SB8,Lot SB8,900 South Blvd,900 South Blvd - Northside of South Boulevard between Kenilworth and Clinton Ave,41.8868971,-87.7979484,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb8.pdf,,,42,3457
lot,SB9,Lot SB9,1000 South Blvd,1000 South Blvd - Northside of South Blvd between Clinton and Home Ave,41.8869366,-87.7992543,Village of Oak Park,,Village of Oak Park,Night,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb9.pdf,,,42,3489
lot,Fenwick High School Parking Garage,Fenwick High School Parking Garage,,,41.8806398,-87.7882641,Fenwick High School,,Fenwick High School,,,,,,,,,,,,,,,0,,,N,,,,,42,3465
lot,Fenwick High School Parking Lot,Fenwick High School Parking Lot,,,41.8801955,-87.7888453,Fenwick High School,,Fenwick High School,,,,,,,,,,,,,,,0,,,N,,,,,42,3524
lot,NB10,Lot NB10,963 North Blvd,963 North Blvd - Southside of North Blvd east of Forest Ave to west of Kenilworth Ave,41.8871702,-87.7995344,Village of Oak Park,,Village of Oak Park,Day; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_nb10.pdf,,,42,3429
lot,SB10,Lot SB10,1050 South Blvd,1050 South Blvd - Northside of South Blvd from Home Ave east toward metered spaces,41.8867533,-87.8007561,Village of Oak Park,,Village of Oak Park,Day,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb10.pdf,,,42,3496
lot,SB11,Lot SB11,,,41.8861261,-87.8025919,,,,,1,METER,,,,,,,,,,,,0,,,N,,,,,42,3462
lot,SB6E,Lot SB6E,650 South Blvd,650 South Blvd - Northside of South Blvd between Wesley Ave and Euclid Ave,41.8868312,-87.7914894,Village of Oak Park,,Village of Oak Park,Night,1,METER,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_sb6e.pdf,,,42,3520
ev_charger,,Avenue Garage Electric Vehicle Charging Station,720 North Blvd,4th Floor of Avenue Garage - 720 North Blvd,41.8877892,-87.7936927,,,,,,,,,,,,,,,,,,,,,,,,,1 dual head charging station,4,848
ev_charger,,Avenue Garage Electric Vehicle Charging Station,720 North Blvd,3rd Floor of Avenue Garage - 720 North Blvd,41.8877502,-87.7936917,,,,,,,,,,,,,,,,,,,,,,,,,,4,2126
ev_charger,,Emerson Garage Electric Vehicle Charging Station,1135 Westgate St,Emerson Garage - 1135 Westgate St,41.887699,-87.8037082,,,,,,,,,,,,,,,,,,,,,,,,,,4,2124
ev_charger,,Holley Court Garage EV Charging Station,1149 Holley Ct,1st Floor of Holley Court Garage - 1149 Holley Ct,41.8895848,-87.8042185,,,,,,,,,,,,,,,,,,,,,,,,,1 dual head charging station,4,852
ev_charger,,Holley Court Garage EV Charging Station,1149 Holley Ct,3rd Floor of Holley Court Garage - 1149 Holley Ct,41.8895822,-87.8041535,,,,,,,,,,,,,,,,,,,,,,,,,,4,2125
ev_charger,,Holley Court Garage Electric Vehicle Charging Station,1149 Holley Ct,1st Floor of Holley Court Garage - 1149 Holley Ct,41.8895867,-87.8042793,,,,,,,,,,,,,,,,,,,,,,,,,,4,2119
ev_charger,,Lake anf Forest Garage Electric Vehicle Charing Station,150 Forest Ave,Lake and Forest Garage - 150 Forest Ave,41.8891853,-87.7996387,,,,,,,,,,,,,,,,,,,,,,,,,,4,854
ev_charger,,Lake anf Forest Garage Electric Vehicle Charing Station,150 Forest Ave,Lake and Forest Garage - 150 Forest Ave,41.8891807,-87.7996,,,,,,,,,,,,,,,,,,,,,,,,,,4,2121
ev_charger,,Village Hall Electric Vehicle Charging Station,123 Madison St,Village Hall Parking Lot - 123 Madison St,41.8787488,-87.7788828,,,,,,,,,,,,,,,,,,,,,,,,,,4,2123
ev_charger,,Village Hall Electric Vehicle Charging Station,123 Madison St,Village Hall Parking Lot - 123 Madison St,41.8787476,-87.7789445,,,,,,,,,,,,,,,,,,,,,,,,,,4,2129
ev_charger,,Walgreens Electric Vehicle Charging Station,801 Madion St,Walgreens Parking Lot - 801 Madion St,41.8794144,-87.7948831,,,,,,,,,,,,,,,,,,,,,,,,,,4,2122
ev_charger_village_vehicles_only,,Village Vehicle ONLY Electric Vehicle Charging Station,123 Madison St,Village Hall Parking Lot - 123 Madison St,41.8785708,-87.7790434,,,,,,,,,,,,,,,,,,,,,,,,,,36,2120
ev_charger_village_vehicles_only,,Village Vehicle ONLY Electric Vehicle Charging Station,123 Madison St,Village Hall Parking Lot - 123 Madison St,41.8785687,-87.7791065,,,,,,,,,,,,,,,,,,,,,,,,,,36,2128
ev_charger_village_vehicles_only,,Village Vehicle ONLY Electric Vehicle Charging Station,123 Madison St,Village Hall Parking Lot - 123 Madison St,41.8785734,-87.7789754,,,,,,,,,,,,,,,,,,,,,,,,,,36,2130
car_share,,Enterprise CarShare Euclid Ave,,located in parking lot at S Euclid Ave and Harrison St,41.8729487,-87.7931383,,,,,,,,,,,,,,,,,,,,,,,,,,3,845
car_share,,Enterprise CarShare Lake St,18 Lake St,18 Lake St,41.8881089,-87.7756806,,,,,,,,,,,,,,,,,,,,,,,,,,3,836
car_share,,Enterprise CarShare South Blvd,719 South Blvd,near 719 South Blvd,41.8867853,-87.7937966,,,,,,,,,,,,,,,,,,,,,,,,,,3,843
car_share,,Enterprise CarShare Village Hall,,located in parking lot behind Village Hall,41.8785886,-87.7793183,,,,,,,,,,,,,,,,,,,,,,,,,,3,868
car_share,,Zipcar Humphrey Ave,425 N Humphrey Ave,425 N Humphrey Ave,41.8941794,-87.7769263,,,,,,,,,,,,,,,,,,,,,,,,http://www.zipcar.com/,,3,864
car_share,,Zipcar North Blvd,,located in parking lot along North Blvd between Forest Ave and Marion St,41.8872733,-87.8013149,,,,,,,,,,,,,,,,,,,,,,,,,,3,2118
car_share,,Zipcar North Blvd,,located in parking lot along North Blvd between Forest Ave and Marion St,41.8872691,-87.8012765,,,,,,,,,,,,,,,,,,,,,,,,,,3,2131
car_share,,Zipcar South Blvd,,Ridgeland/South Blvd,41.8870825,-87.7837793,,,,,,,,,,,,,,,,,,,,,,,,http://www.zipcar.com/,,3,842
car_share,,Zipcar Taylor Ave,438 S Taylor Ave,438 S Taylor Ave,41.8802404,-87.7777396,,,,,,,,,,,,,,,,,,,,,,,,http://www.zipcar.com/,,3,838
