alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
215,ALLEY 215,00,ALLEYS::215::00,Thomas St,Augusta St,PCC,20,33,20,1922-06-01,1922,,26,46,20,40-59,,N,610.8,127,41.8991161,-87.7809453
221,ALLEY 221,00,ALLEYS::221::00,Division St,Thomas St,PCC,16,36,16,1923-06-01,1923,,23,36,13,0-39,2026,Y,720.8,128,41.9009261,-87.7820305
222,ALLEY 222,00,ALLEYS::222::00,Division St,Thomas St,PCC,16,20,6,2012-06-01,2012,,97,97,0,80-100,,N,720.6,129,41.9009087,-87.783248
212,ALLEY 212,00,ALLEYS::212::00,Division St,Thomas St,PCC,16,32,16,1924-06-01,1924,,38,49,11,40-59,,N,664.6,130,41.901035,-87.7795963
213,ALLEY 213,00,ALLEYS::213::00,Thomas St,Augusta St,PCC,16,15,6,2015-06-01,2015,,95,95,0,80-100,,N,665.1,131,41.899211,-87.7795372
210,ALLEY 210,00,ALLEYS::210::00,Thomas St,Augusta St,PCC,16,32,16,1924-06-01,1924,,51,67,16,60-79,,N,664.8,132,41.8992288,-87.7783236
211,ALLEY 211,00,ALLEYS::211::00,Division St,Thomas St,PCC,16,33,16,1925-06-01,1925,,23,42,19,40-59,,N,664.4,133,41.9010521,-87.7783804
204,ALLEY 204,00,ALLEYS::204::00,Division St,Thomas St,PCC,20,12,8,2015-06-01,2015,,98,98,0,80-100,,N,664.3,134,41.9010699,-87.7771646
205,ALLEY 205,00,ALLEYS::205::00,Thomas St,Augusta St,PCC,16,30,16,1924-06-01,1924,,56,70,14,60-79,,N,665.4,135,41.899246,-87.7771057
203,ALLEY 203,00,ALLEYS::203::00,Division St,Thomas St,PCC,20,10,6,2007-06-01,2007,,88,88,0,80-100,,N,664.9,136,41.9010856,-87.7759422
202,ALLEY 202,00,ALLEYS::202::00,Thomas St,Augusta St,PCC,16,12,8,2018-06-01,2018,,86,86,0,80-100,,N,664.8,137,41.8992616,-87.7758891
111,ALLEY 111,00,ALLEYS::111::00,Berksire St,Division St,PCC,16,33,16,1925-06-01,1925,,49,49,0,40-59,,N,698.4,138,41.9029043,-87.7796717
106,ALLEY 106,00,ALLEYS::106::00,Berksire St,Division St,AC,22,0,0,1973-06-01,1973,,20,20,0,0-39,2026,Y,698.9,139,41.9029219,-87.7784534
105,ALLEY 105,00,ALLEYS::105::00,Berksire St,Division St,PCC,16,30,15,1923-06-01,1923,,64,71,7,60-79,,N,699.2,140,41.9029401,-87.7772294
267-S,ALLEY 267-S,00,ALLEYS::267-S::00,N Belleforte Ave,N Forest Ave,PCC,18,16,6,2013-06-01,2013,,95,95,0,80-100,,N,413.3,141,41.8984154,-87.8016057
275-W,ALLEY 275-W,00,ALLEYS::275-W::00,N Harlem Ave,Alley 275,PCC,18,33,18,1900-01-01,1900,,15,33,18,0-39,,N,378.5,142,41.8974626,-87.8046716
275,ALLEY 275,00,ALLEYS::275::00,Augusta St,Miller Ave,PCC,18,15,6,2012-06-01,2012,,89,89,0,80-100,,N,292.4,143,41.8974961,-87.8039774
274,ALLEY 274,00,ALLEYS::274::00,Miller Ave,Schneider Ave,PCC,14,33,16,1929-06-01,1929,,14,28,14,0-39,,N,289.6,144,41.8967035,-87.8039461
274-E,ALLEY 274-E,00,ALLEYS::274-E::00,N Harlem Ave,Alley 274,PCC,14,33,16,1929-06-01,1929,,23,32,9,0-39,,N,379.0,145,41.8967009,-87.8046432
273,ALLEY 273,00,ALLEYS::273::00,Schneider Ave,South End,AC,18,0,0,1900-01-01,1900,,59,59,0,40-59,,N,149.6,146,41.8960953,-87.803924
266,ALLEY 266,00,ALLEYS::266::00,N Belleforte Ave,N Forest Ave,PCC,14,25,7,1900-01-01,1900,,79,79,0,60-79,,N,358.6,147,41.894899,-87.8012874
375,ALLEY 375,00,ALLEYS::375::00,Chicago Ave,Superior St,PCC,22,33,22,1926-06-01,1926,,16,33,17,0-39,,N,435.8,148,41.8936497,-87.8034748
365,ALLEY 365,00,ALLEYS::365::00,Superior Sr,South End,PCC,15,33,5,1980-06-01,1980,,14,100,86,80-100,,N,174.0,149,41.8928617,-87.8009988
365-W,ALLEY 365-W,00,ALLEYS::365-W::00,N Marion St,Alley 365,AC,18,0,0,1900-01-01,1900,,43,100,57,80-100,,N,485.9,150,41.8924897,-87.8018838
374,ALLEY 374,00,ALLEYS::374::00,Superior St,Erie St,PCC,20,12,10,2013-06-01,2013,,98,98,0,80-100,,N,435.2,151,41.8924554,-87.8034169
