objectid,icn,statistical_yearof_crash,contrib_cause_prim,contrib_cause_prim_grouping,contrib_cause_sec,type_of_first_crash,traf_control_device,traf_control_device_cond,weather_cond,lighting_cond,ts_crash_latitude,ts_crash_longitude,crash_report_city,crash_injury_severity,is_injury,is_fatal_injury,crash_injury_severity_sort,crash_time_hour,crash_time_mins,is_holiday,is_intersection,is_hit_and_run,is_work_zone_related,is_all_insured,is_any_citation,crash_report_district,crash_report_region,intersection_streets,total_fatals,total_injured,crash_day_of_week,is_teen_driver_crash,is_pedestrain,is_pedalcyclist,is_traffic_signal,is_light_support,is_culvert,is_curb,is_cable_median_barrier,a_injury_crash_ind,b_injury_crash_ind,c_injury_crash_ind,o_injury_crash_ind,ka_crash_ind,kab_crash_ind,dooring_with_pedalcyclist,did_crash_occur_in_work_zone,urban,located_by,latitude,longitude
21797,202101404588,2021,Improper Lane Usage,Other,Failing to Reduce Speed to Avoid Crash,Parked Motor Vehicle,No Controls,No Controls,Clear,"Darkness, Lighted Road",41.86742257073074,-87.77418545482388,Oak Park,K-Fatal crash,No,Yes,0,06,12,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),1,0,Sun,No,Yes,No,No,No,No,No,No,0,0,0,0,1,1,No,No,Urban,Coordinate,41.8674226,-87.7741855
21873,202101072565,2021,Disregarding Traffic Signals,Disregarding Traffic Control,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Clear,Darkness,41.87363287949182,-87.80451264104067,Oak Park,A-Incapacitating injury crash,Yes,No,1,21,22,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Harlem/I290,0,1,Mon,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8736329,-87.8045126
21959,202301422896,2023,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Stop Sign,Functioning Properly,Rain,"Darkness, Lighted Road",41.88817089680445,-87.77980001724309,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,18,19,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Lake St/N Lombard Ave,0,1,Thu,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8881709,-87.7798
22050,202101073813,2021,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.908950695034065,-87.7833524803822,Oak Park,A-Incapacitating injury crash,Yes,No,1,10,57,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Sat,No,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.9089507,-87.7833525
22211,202101075821,2021,Driving Skills/Knowledge/Experience,Other,Unable to Determine,Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Daylight,41.901699999058955,-87.79485000057127,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,16,15,No,Yes,No,Yes,Yes,No,District 1,Region 1,Division St/N Oak Park Ave,0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9017,-87.79485
22614,202101274392,2021,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Stop Sign,Functioning Properly,Cloudy/Overcast,Daylight,41.87618011978495,-87.78921593247792,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,44,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Jackson Blvd/S East Ave,0,1,Tue,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8761801,-87.7892159
22625,202101079723,2021,Failing to Yield Right of Way,Other,Driving Skills/Knowledge/Experience,Pedestrian,Traffic Signal,Functioning Properly,Blowing Snow,Daylight,41.89078442046736,-87.80511118811214,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,13,00,No,Yes,No,Yes,Yes,No,District 1,Region 1,N Harlem Ave/Quick Ave,0,1,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8907844,-87.8051112
22818,202301303359,2023,Failing to Yield Right of Way,Other,(N/A),Pedestrian,No Controls,Functioning Properly,Clear,Daylight,41.887333854367355,-87.79268318734898,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,08,20,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,N Euclid Ave/North Blvd,0,1,Thu,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8873339,-87.7926832
23333,202001130246,2020,Disregarding Stop Sign,Disregarding Traffic Control,(N/A),Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.89802867844456,-87.79624117746238,Oak Park,A-Incapacitating injury crash,Yes,No,1,15,02,No,Yes,No,Yes,Yes,No,District 1,Region 1,Augusta St/N Grove Ave,0,1,Tue,No,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8980287,-87.7962412
23408,202301306522,2023,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Stop Sign,Functioning Properly,Clear,Daylight,41.88338724568052,-87.79702497952864,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,16,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Kenilworth/Randolph,0,1,Sat,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8833872,-87.797025
23520,202101087884,2021,Driving Skills/Knowledge/Experience,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.88818164215278,-87.78016669582198,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,10,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Wed,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8881816,-87.7801667
23696,202101384153,2021,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Rain,Daylight,41.86532937889084,-87.7839699734481,Oak Park,0-Property damage crash,No,No,4,13,52,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Ridgeland Ave/Roosevelt Rd,0,0,Wed,Yes,Yes,No,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.8653294,-87.78397
