objectid,icn,statistical_yearof_crash,contrib_cause_prim,contrib_cause_prim_grouping,contrib_cause_sec,type_of_first_crash,traf_control_device,traf_control_device_cond,weather_cond,lighting_cond,ts_crash_latitude,ts_crash_longitude,crash_report_city,crash_injury_severity,is_injury,is_fatal_injury,crash_injury_severity_sort,crash_time_hour,crash_time_mins,is_holiday,is_intersection,is_hit_and_run,is_work_zone_related,is_all_insured,is_any_citation,crash_report_district,crash_report_region,intersection_streets,total_fatals,total_injured,crash_day_of_week,is_teen_driver_crash,is_pedestrain,is_pedalcyclist,is_traffic_signal,is_light_support,is_culvert,is_curb,is_cable_median_barrier,a_injury_crash_ind,b_injury_crash_ind,c_injury_crash_ind,o_injury_crash_ind,ka_crash_ind,kab_crash_ind,dooring_with_pedalcyclist,did_crash_occur_in_work_zone,urban,located_by,latitude,longitude
23808,202301109317,2023,Failing to Yield Right of Way,Other,(N/A),Pedestrian,No Controls,No Controls,Clear,Daylight,41.880029061256934,-87.78283229454946,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,24,No,Yes,No,Yes,Yes,No,District 1,Region 1,Cuyler Ave/Madison St,0,2,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8800291,-87.7828323
23839,202101384239,2021,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Clear,Daylight,41.87993047994878,-87.7795319660184,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,10,50,Yes,Yes,No,Yes,Yes,Yes,District 1,Region 1,Madison St/S Lombard Ave,0,1,Sun,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8799305,-87.779532
23932,202101282083,2021,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,Traffic Signal,Functioning Properly,Rain,Daylight,41.888639999236155,-87.79451000154629,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,57,No,Yes,No,Yes,Yes,No,District 1,Region 1,Lake St/N Oak Park Ave,0,1,Tue,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.88864,-87.79451
24075,202101385457,2021,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,Pedestrian Crossing Sign,Functioning Properly,Cloudy/Overcast,"Darkness, Lighted Road",41.894709999284366,-87.77515000066613,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,19,10,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Chicago Ave/N Austin Blvd,0,1,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.89471,-87.77515
24467,202101097774,2021,"Evasive Action Due to Animal, Object, Non-Motorist",Other,(N/A),Front to Rear,Other,Functioning Properly,Clear,"Darkness, Lighted Road",41.8721692466743,-87.7901671514295,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,04,58,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,3,Sun,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8721692,-87.7901672
24473,202301312958,2023,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Stop Sign,Functioning Properly,Cloudy/Overcast,Daylight,41.8706299684003,-87.793927131743,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,15,37,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Fri,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.87063,-87.7939271
24476,202301313084,2023,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Other Warning Sign,Functioning Properly,Clear,Daylight,41.87974764981838,-87.79533161771143,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,06,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Sat,Yes,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8797477,-87.7953316
24491,202001148259,2020,Unable to Determine,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.8865542498171,-87.80494032903913,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,16,19,No,Yes,No,Yes,Yes,No,District 1,Region 1,(UNK)/Circle,0,1,Tue,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8865543,-87.8049403
24590,202101386930,2021,Failing to Reduce Speed to Avoid Crash,Speed,Disregarding Stop Sign,Pedestrian,No Controls,No Controls,Clear,Darkness,41.90919954553265,-87.7795022575747,Oak Park,A-Incapacitating injury crash,Yes,No,1,06,29,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Tue,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.9091995,-87.7795023
24591,202101386933,2021,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,Stop Sign,Functioning Properly,Clear,"Darkness, Lighted Road",41.88331982047393,-87.79997873542165,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,16,35,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Home Ave/Randolph St,0,1,Tue,No,No,Yes,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8833198,-87.7999787
24614,202001149845,2020,Disregarding Stop Sign,Disregarding Traffic Control,Unable to Determine,Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.89800897221623,-87.79778110004513,Oak Park,A-Incapacitating injury crash,Yes,No,1,17,56,No,Yes,No,Yes,Yes,No,District 1,Region 1,Augusta St/N Kenilworth Ave,0,1,Sun,Yes,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.898009,-87.7977811
24769,202001152295,2020,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedalcyclist,Other Regualtory Sig,Functioning Properly,Clear,Daylight,41.8983129592308,-87.77769318321856,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,35,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Augusta Blvd/Taylor,0,1,Fri,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.898313,-87.7776932
24870,202101102243,2021,Failing to Reduce Speed to Avoid Crash,Speed,Unable to Determine,Pedestrian,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.873633716387154,-87.80451953806083,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,03,22,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Expressway/Harlem Ave,0,1,Sat,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8736337,-87.8045195
24938,202001155519,2020,Driving Skills/Knowledge/Experience,Other,Driving Skills/Knowledge/Experience,Pedestrian,Pedestrian Crossing Sign,Functioning Properly,Rain,"Darkness, Lighted Road",41.88153978337433,-87.79696705300636,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,21,13,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,S Kenilworth Ave/Washington Blvd,0,1,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8815398,-87.7969671
25005,202301120303,2023,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.89452003719023,-87.78812017571695,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,08,05,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Chicago Ave/Fair Oaks,0,1,Thu,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.89452,-87.7881202
25111,202001157618,2020,Improper Turning/No Signal,Other,Driving Skills/Knowledge/Experience,Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Daylight,41.88503064124446,-87.79441000098105,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,12,36,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Pleasant St/S Oak Park Ave,0,1,Wed,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8850306,-87.79441
25420,202201112543,2022,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,No Controls,No Controls,Cloudy/Overcast,Daylight,41.879855884555276,-87.79180702979475,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,15,17,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Madison St/Wesley Ave,0,1,Thu,Yes,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8798559,-87.791807
25421,202201112545,2022,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,Pedestrian Crossing Sign,Functioning Properly,Freezing Rain or Freezing Drizzle,Daylight,41.908911463096985,-87.80053399592427,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,02,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,North Av/Woodbine,0,2,Thu,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9089115,-87.800534
25475,202401172617,2024,Failing to Yield Right of Way,Other,(N/A),Pedestrian,No Controls,No Controls,Clear,Daylight,41.87470170457898,-87.79968480679871,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,15,56,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Fri,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8747017,-87.7996848
25476,202401172626,2024,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Stop Sign,Functioning Properly,Rain,Daylight,41.89017005133746,-87.79753855424487,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,15,04,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,N Kenilworth Ave/Ontario St,0,1,Sat,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8901701,-87.7975386
25722,202201123464,2022,Driving Skills/Knowledge/Experience,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Rain,"Darkness, Lighted Road",41.86881240676743,-87.79387059261217,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,21,14,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Wed,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8688124,-87.7938706
25894,202201128855,2022,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedestrian,No Controls,No Controls,Rain,Daylight,41.86705099493389,-87.7766239558886,Oak Park,A-Incapacitating injury crash,Yes,No,1,12,10,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Sun,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.867051,-87.776624
26229,202401191512,2024,Failing to Yield Right of Way,Other,Improper Lane Usage,Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Dusk,41.86502046851911,-87.8042100158194,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,19,46,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Roosevelt Rd/S Harlem Ave,0,1,Fri,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8650205,-87.80421
26321,202201144769,2022,(N/A),Other,(N/A),Pedestrian,No Controls,No Controls,Rain,Daylight,41.88328399646644,-87.798507106214,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,15,34,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Fri,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.883284,-87.7985071
26442,202201149153,2022,Improper Lane Usage,Other,Failing to Reduce Speed to Avoid Crash,Parked Motor Vehicle,Other,Functioning Properly,Clear,"Darkness, Lighted Road",41.87094680188171,-87.77447175809225,Oak Park,A-Incapacitating injury crash,Yes,No,1,00,26,No,No,Yes,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Sun,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8709468,-87.7744718
26600,202201155913,2022,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.875409872237,-87.79972867139907,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,07,44,No,Yes,Yes,Yes,Yes,Yes,District 1,Region 1,Home Ave/Jackson Blvd,0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8754099,-87.7997287
26601,202201155919,2022,Failing to Yield Right of Way,Other,Disregarding Other Traffic Signs,Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Daylight,41.888559999096806,-87.80502000068114,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,16,44,No,Yes,No,No,Yes,Yes,District 1,Region 1,Lake St/N Harlem Ave,0,1,Mon,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.88856,-87.80502
26618,202401200812,2024,Failing to Yield Right of Way,Other,(N/A),Pedestrian,Flashing Control Signal,Functioning Properly,Clear,Daylight,41.888559999096806,-87.80502000068114,Oak Park,A-Incapacitating injury crash,Yes,No,1,18,45,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Lake St/N Harlem Ave,0,1,Mon,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.88856,-87.80502
26996,202201170738,2022,Disregarding Stop Sign,Disregarding Traffic Control,Unable to Determine,Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.88842012229782,-87.78795503042845,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,13,50,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Lake St/N Scoville Ave,0,1,Tue,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8884201,-87.787955
27084,202201173269,2022,Turning Right On Red,Other,Failing to Yield Right of Way,Pedestrian,Traffic Signal,Functioning Properly,Clear,Daylight,41.87961941345,-87.8023222782763,Oak Park,A-Incapacitating injury crash,Yes,No,1,09,50,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Madison St/Wisconsin Ave,0,1,Tue,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8796194,-87.8023223
27178,202201175899,2022,Failing to Reduce Speed to Avoid Crash,Speed,Failing to Yield Right of Way,Pedestrian,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.87366192802351,-87.80321763603025,Oak Park,A-Incapacitating injury crash,Yes,No,1,20,49,Yes,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Sun,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8736619,-87.8032176
27362,202201181517,2022,Failing to Reduce Speed to Avoid Crash,Speed,Improper Lane Usage,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.87612679420639,-87.79294837426048,Oak Park,A-Incapacitating injury crash,Yes,No,1,12,42,Yes,No,Yes,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Sat,No,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8761268,-87.7929484
27365,202201181581,2022,Unable to Determine,Other,Unable to Determine,Parked Motor Vehicle,No Controls,No Controls,Clear,Daylight,41.879894172662574,-87.7895293166942,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,17,24,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Fri,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8798942,-87.7895293
27830,202401225441,2024,Improper Lane Usage,Other,Driving Skills/Knowledge/Experience,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.89791666413566,-87.80201507176878,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,42,No,Yes,No,Yes,Yes,No,District 1,Region 1,Augusta St/Belleforte Ave,0,1,Mon,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8979167,-87.8020151
27963,202201199148,2022,Failing to Yield Right of Way,Other,Failing to Yield Right of Way,Pedalcyclist,Stop Sign,Not Functioning,Clear,Daylight,41.87618019675591,-87.7892100233182,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,08,22,No,Yes,No,Yes,Yes,No,District 1,Region 1,East Ave/Jackson Blvd,0,1,Thu,No,No,Yes,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8761802,-87.78921
28102,202201204293,2022,Vision Obscured,Other,(N/A),Pedestrian,Traffic Signal,Unknown,Clear,Daylight,41.908775715474604,-87.80577698114948,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,19,35,No,Yes,No,Yes,Yes,No,District 1,Region 1,N Harlem/North Ave,0,1,Fri,Yes,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9087757,-87.805777
28115,202401231293,2024,Failing to Reduce Speed to Avoid Crash,Speed,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.88,-87.80173,Oak Park,0-Property damage crash,No,No,4,14,09,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,0,Thu,No,No,Yes,No,No,No,No,No,0,0,0,1,0,0,No,No,Rural,Coordinate,41.88,-87.80173
28170,202401232011,2024,Failing to Yield Right of Way,Other,(N/A),Pedestrian,Traffic Signal,Functioning Properly,Clear,Daylight,41.89424,-87.80286,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,54,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Chicago Ave/N Marion St,0,1,Thu,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.89424,-87.80286
28339,202401235890,2024,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.87637,-87.77573,Oak Park,0-Property damage crash,No,No,4,08,03,No,Yes,No,Yes,Yes,No,District 1,Region 1,Jackson Blvd/S Humphrey Ave,0,0,Thu,No,No,Yes,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.87637,-87.77573
28525,202401239883,2024,Improper Lane Usage,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.88718,-87.80244,Oak Park,0-Property damage crash,No,No,4,14,12,No,Yes,No,Yes,Yes,No,District 1,Region 1,N Marion St/North Blvd,0,0,Fri,No,No,Yes,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.88718,-87.80244
28526,202401239927,2024,Improper Lane Usage,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,No Controls,No Controls,Clear,"Darkness, Lighted Road",41.8781673785665,-87.80465965973595,Oak Park,A-Incapacitating injury crash,Yes,No,1,21,48,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Sat,No,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8781674,-87.8046597
28602,202201220129,2022,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,No Controls,No Controls,Clear,Daylight,41.87984866787233,-87.78600710247774,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,13,04,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8798487,-87.7860071
28845,202201227729,2022,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Stop Sign,Functioning Properly,Cloudy/Overcast,Daylight,41.89800733211457,-87.79778105041771,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,12,07,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Augusta St/N Kenilworth Ave,0,1,Thu,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8980073,-87.797781
29103,202201235136,2022,Failing to Reduce Speed to Avoid Crash,Speed,Failing to Yield Right of Way,Pedestrian,No Controls,No Controls,Clear,"Darkness, Lighted Road",41.87035913689186,-87.77919339770814,Oak Park,A-Incapacitating injury crash,Yes,No,1,22,49,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Tue,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8703591,-87.7791934
29419,202401257650,2024,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,No Controls,Functioning Properly,Clear,Daylight,41.90722,-87.78871,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,08,48,No,Yes,No,Yes,Yes,No,District 1,Region 1,Fair Oaks Ave/Le Moyne Pkwy,0,1,Tue,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.90722,-87.78871
29634,202401260791,2024,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Unknown,Unknown,41.89465774639204,-87.77844186853815,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,17,30,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Thu,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8946577,-87.7784419
30035,202401267814,2024,Unable to Determine,Other,Unable to Determine,Pedestrian,No Controls,No Controls,Clear,"Darkness, Lighted Road",41.88715,-87.80238,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,20,37,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Thu,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.88715,-87.80238
30143,202201264942,2022,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedalcyclist,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.86881239883796,-87.79387102066818,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,20,34,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Harvard St/S Oak Park Ave,0,1,Fri,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8688124,-87.793871
30501,202401277793,2024,(N/A),Other,(N/A),Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Daylight,41.909170008333284,-87.78190322746191,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,21,43,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Thu,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.90917,-87.7819032
30533,202201275915,2022,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.90378658444084,-87.78417042267202,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,09,31,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Berkshire St/N Ridgeland Ave,0,1,Mon,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9037866,-87.7841704
30534,202201275949,2022,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Dusk,41.88692245172246,-87.78138707095286,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,57,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8869225,-87.7813871
31098,202201291640,2022,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Cloudy/Overcast,"Darkness, Lighted Road",41.888590862046925,-87.79269191374756,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,19,25,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Lake St/N Euclid Ave,0,1,Fri,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8885909,-87.7926919
31254,202201295522,2022,Failing to Yield Right of Way,Other,(N/A),Pedestrian,No Controls,No Controls,Clear,Dusk,41.89808223503069,-87.79282350148712,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,31,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Thu,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8980822,-87.7928235
31534,202201302957,2022,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.90191189105324,-87.78135264423156,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,08,59,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Division St/Mapleton Ave,0,1,Wed,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9019119,-87.7813526
31574,202201304140,2022,Improper Overtaking/Passing,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.87618019386425,-87.7892102192197,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,15,18,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Jackson Blvd/S East Ave,0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8761802,-87.7892102
31650,202401304084,2024,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Pedestrian Crossing Sign,Functioning Properly,Clear,Daylight,41.89452006235924,-87.78812110110555,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,15,29,No,No,Yes,No,Yes,No,District 1,Region 1,(N/A),0,1,Mon,No,No,Yes,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8945201,-87.7881211
31675,202201307145,2022,Driving Skills/Knowledge/Experience,Other,Driving Skills/Knowledge/Experience,Pedalcyclist,Stop Sign,Functioning Properly,Rain,"Darkness, Lighted Road",41.899711577019424,-87.80391826133716,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,20,42,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,N Marion St/Thomas St,0,1,Sun,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8997116,-87.8039183
31982,202401303146,2024,Failing to Yield Right of Way,Other,Disregarding Stop Sign,Pedalcyclist,Stop Sign,Functioning Properly,Clear,"Darkness, Lighted Road",41.899749838158996,-87.79237089485179,Oak Park,A-Incapacitating injury crash,Yes,No,1,21,13,No,Yes,No,Yes,Yes,No,District 1,Region 1,Linden Ave/Thomas St,0,3,Fri,Yes,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8997498,-87.7923709
32239,202401308089,2024,Failing to Reduce Speed to Avoid Crash,Speed,Failing to Yield Right of Way,Pedestrian,Stop Sign,Functioning Properly,Cloudy/Overcast,"Darkness, Lighted Road",41.87056,-87.79784,Oak Park,A-Incapacitating injury crash,Yes,No,1,19,31,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Clinton Ave/Lexington St,0,1,Tue,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.87056,-87.79784
32240,202401308158,2024,Unable to Determine,Other,Unable to Determine,Pedestrian,Traffic Signal,Functioning Properly,Rain,Dawn,41.88155,-87.79427,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,06,39,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,S Oak Park Ave/Washington Blvd,0,1,Tue,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.88155,-87.79427
