series,id,name,line,in_oak_park,date,daytype,rides,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,month_total
bus_route_monthly,20,Madison,,,2018-08-01,,,15402.70,9368.10,7226.90,420643
bus_route_monthly,66,Chicago,,,2018-08-01,,,21607.50,14846.50,10734.80,599298
bus_route_monthly,70,Division,,,2018-08-01,,,7734.80,5449.70,4284.50,216838
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-08-01,,,1662.80,0,0,38244
bus_route_monthly,90,Harlem,,,2018-08-01,,,4528.80,2886.80,2079.60,124029
bus_route_monthly,91,Austin,,,2018-08-01,,,5871.80,3391.40,2541.80,158784
bus_route_monthly,126,Jackson,,,2018-09-01,,,5742.90,2460.30,2002.20,133430
bus_route_monthly,20,Madison,,,2018-09-01,,,17201,9640.10,7400.80,419425
bus_route_monthly,66,Chicago,,,2018-09-01,,,23275.30,14021.40,10704.90,576566
bus_route_monthly,70,Division,,,2018-09-01,,,9230.80,4922.90,3941.40,223648
