object_id,common_name,latin_name,genus,genus_source,dbh_in,height_ft,spread_ft,latitude,longitude,nearest_street,block,block_distance_ft,global_id
5661,OAK-RED,Quercus rubra,Quercus,latin,14,30,20,41.9071599,-87.793472,LE MOYNE PKWY,700 LE MOYNE PKWY,17.9,95e297fa-7e2e-4940-be2d-f3df19a764b2
5662,MAPLE-NORWAY,Acer platanoides,Acer,latin,20,40,30,41.90715,-87.7936516,LE MOYNE PKWY,700 LE MOYNE PKWY,21.0,1413cf54-ebe0-4fbe-a91b-5a9c3320b431
5663,HACKBERRY,Celtis occidentalis,Celtis,latin,20,30,40,41.9072758,-87.7936043,LE MOYNE PKWY,700 LE MOYNE PKWY,24.7,12053657-1490-4e41-954b-db13706f5f09
5664,MAPLE-NORWAY,Acer platanoides,Acer,latin,14,30,20,41.9072773,-87.7933269,LE MOYNE PKWY,700 LE MOYNE PKWY,24.0,6be3840f-2981-4905-be88-c0e0a873116e
5665,OAK-RED,Quercus rubra,Quercus,latin,24,40,50,41.9072819,-87.7927911,LE MOYNE PKWY,700 LE MOYNE PKWY,22.5,8567092d-a179-4daa-b787-20f1d95b845d
5667,HACKBERRY,Celtis occidentalis,Celtis,latin,11,20,20,41.9058907,-87.7950616,N OAK PARK AVE,1100 N OAK PARK AVE,24.2,9068af99-2976-4d15-aeee-4707bf60c881
5668,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,9,30,30,41.905987,-87.795059,N OAK PARK AVE,1100 N OAK PARK AVE,22.8,71b5885e-dab4-4c78-9f3c-ff94e86e3cf4
5670,MAPLE-NORWAY,Acer platanoides,Acer,latin,15,30,30,41.9062563,-87.7950679,N OAK PARK AVE,1100 N OAK PARK AVE,23.3,58e7a7b0-6595-4b65-90c4-0952ce25fb76
5671,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,6,20,10,41.906367,-87.795067,N OAK PARK AVE,1100 N OAK PARK AVE,22.3,89f39912-7786-4d9d-bf6e-5832f83893f4
5672,BLACK LOCUST,Robinia pseudoacacia,Robinia,latin,6,20,10,41.906475,-87.7950729,N OAK PARK AVE,1100 N OAK PARK AVE,23.1,7bad91a7-9792-4771-99a2-d0bbd1457d49
5676,ELM-AMERICAN,Ulmus americana,Ulmus,latin,34,50,60,41.9068792,-87.7950813,N OAK PARK AVE,1100 N OAK PARK AVE,22.6,ad7e4842-4428-48dc-8b97-f750a0364d10
5677,AMUR CORKTREE,Phellodendron amurense,Phellodendron,latin,10,20,20,41.9069362,-87.7950761,N OAK PARK AVE,1100 N OAK PARK AVE,20.7,ad0831f1-349c-46f3-88c9-78f02c29ee0a
5678,OAK-RED,Quercus rubra,Quercus,latin,10,30,20,41.9070316,-87.79509,N OAK PARK AVE,1100 N OAK PARK AVE,23.8,46ff301a-2dc0-496b-ad1f-2f5156a6d1e8
5679,OAK-CHINKQUAPIN,Quercus muehlenbergii,Quercus,latin,4,20,5,41.9073404,-87.7950996,N OAK PARK AVE,1200 N OAK PARK AVE,24.2,98b58a58-dabb-4554-a47f-db69e7891096
5680,OAK-SWAMP WHITE,Quercus bicolor,Quercus,latin,4,10,10,41.9074383,-87.7950958,N OAK PARK AVE,1200 N OAK PARK AVE,22.5,7a48fe2d-7f7d-407e-9a61-314740db04cc
5681,OAK-PIN,Quercus palustris,Quercus,latin,11,30,20,41.9076898,-87.7951079,N OAK PARK AVE,1200 N OAK PARK AVE,24.1,a6fd1c3e-b09d-4e88-bf38-3aa03697b4d9
5682,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,4,20,10,41.9077869,-87.795114,N OAK PARK AVE,1200 N OAK PARK AVE,25.2,79c42ea7-305d-480f-80ec-fe4954f324d2
5685,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,7,30,20,41.9081481,-87.7951162,N OAK PARK AVE,1200 N OAK PARK AVE,23.2,5922da81-d723-40fe-a857-794b10725ad6
5686,MAPLE-AUTUMN BLAZE,Acer x freemanii,Acer,latin,18,50,40,41.9082764,-87.795119,N OAK PARK AVE,1200 N OAK PARK AVE,22.9,181b7834-5a8f-4549-b213-44502d483055
5687,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,21,40,50,41.9084219,-87.7951258,N OAK PARK AVE,1200 N OAK PARK AVE,23.5,61f90499-502e-4005-8337-df6646697d91
5688,ELM-HYBRID,Ulmus x spp,Ulmus,latin,15,40,40,41.9089065,-87.795609,NORTH AVE,6800 NORTH AVE,38.9,a7e10f28-3e01-4381-8cdc-d7dc7ba7d03c
5689,ELM-HYBRID,Ulmus x spp,Ulmus,latin,13,40,30,41.9089046,-87.795739,NORTH AVE,6800 NORTH AVE,39.0,e9d1e229-fcb9-4b8a-8ec6-a7073a5a5ffb
5690,HACKBERRY,Celtis occidentalis,Celtis,latin,6,20,10,41.9089047,-87.795862,NORTH AVE,6800 NORTH AVE,38.4,ff95077f-d0d4-4242-9530-1cae81b343a6
5691,ELM-HYBRID,Ulmus x spp,Ulmus,latin,14,40,30,41.9088975,-87.7962198,NORTH AVE,6800 NORTH AVE,39.4,79304796-da87-495c-a206-12a431af087e
5692,ELM-HYBRID,Ulmus 'Morton',Ulmus,latin,14,30,20,41.9088924,-87.7967681,NORTH AVE,6800 NORTH AVE,38.8,1a945f2e-d8ae-4288-9ad7-7c1a7fb331be
5693,HACKBERRY,Celtis occidentalis,Celtis,latin,4,10,5,41.9088932,-87.797005,NORTH AVE,6800 NORTH AVE,37.4,bbc00e39-0063-4571-a6e2-5ddaaadebc21
5694,ELM-HYBRID,Ulmus x spp,Ulmus,latin,13,30,30,41.9088832,-87.7976212,NORTH AVE,6800 NORTH AVE,38.3,eaf7680c-3a49-4683-b25b-a53a3a35a7e6
5696,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,3,20,5,41.9089338,-87.7942682,NORTH AVE,6700 NORTH AVE,34.6,84d2437b-1e16-43ad-951a-604d5fc00491
5697,OAK-ENGLISH,Quercus robur,Quercus,latin,28,50,40,41.9083202,-87.794947,N OAK PARK AVE,1200 N OAK PARK AVE,24.2,72608edb-3ffe-4346-ac1a-1a8ac158b339
5698,MAPLE-NORWAY,Acer platanoides,Acer,latin,15,30,20,41.9080236,-87.7949375,N OAK PARK AVE,1200 N OAK PARK AVE,24.3,b8f0461b-2591-4da8-9524-dcf35b45209f
5699,MAPLE-MIYABEI,Acer miyabei 'Morton',Acer,latin,9,20,10,41.9078202,-87.794934,N OAK PARK AVE,1200 N OAK PARK AVE,23.9,8924d92f-6d22-42fa-a3b2-5e76fabab2ae
5700,ELM-HYBRID,Ulmus 'Morton',Ulmus,latin,13,30,20,41.9077278,-87.7949369,N OAK PARK AVE,1200 N OAK PARK AVE,22.5,cd5e34e9-1a26-45b6-9aa1-65a895451055
5702,GINKGO,Ginkgo biloba,Ginkgo,latin,13,30,10,41.9074492,-87.7949273,N OAK PARK AVE,1200 N OAK PARK AVE,23.3,38b8a74f-f8d9-46d8-ab18-aa03fb6fda29
5703,ELM-AMERICAN,Ulmus americana,Ulmus,latin,37,50,60,41.9069507,-87.7949132,N OAK PARK AVE,1100 N OAK PARK AVE,23.6,db7699c6-3ca1-4f98-ae47-14baf916783b
5704,MAPLE-SILVER,Acer saccharinum,Acer,latin,28,60,60,41.9068331,-87.7949112,N OAK PARK AVE,1100 N OAK PARK AVE,23.3,d04fd4f7-f762-48a3-8d28-1240abe7cffc
5706,MAPLE-SILVER,Acer saccharinum,Acer,latin,13,30,20,41.9067243,-87.7948979,N OAK PARK AVE,1100 N OAK PARK AVE,26.1,267130de-e627-49a2-9b65-903fb0deba6b
5707,LINDEN-LITTLELEAF,Tilia cordata,Tilia,latin,21,40,30,41.9066145,-87.7949029,N OAK PARK AVE,1100 N OAK PARK AVE,24.0,03583b62-b23e-43d1-bcab-8a81c0da8b46
5708,LILAC-TREE,Syringia reticulata 'Ivory Silk',Syringia,latin,5,10,5,41.9065094,-87.7948952,N OAK PARK AVE,1100 N OAK PARK AVE,25.3,52e0d5c7-5654-44be-b93f-343f8c6aeeeb
5711,MAPLE-SUGAR,Acer saccharum,Acer,latin,19,30,40,41.9061848,-87.7949012,N OAK PARK AVE,1100 N OAK PARK AVE,21.4,808b39c7-3eef-48ee-9d65-4cefed750c71
5712,LINDEN-LITTLELEAF,Tilia cordata,Tilia,latin,22,40,30,41.9060144,-87.7948789,N OAK PARK AVE,1100 N OAK PARK AVE,26.3,5550b13c-17d6-4155-9aa8-80133cf1b403
5713,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,21,40,40,41.9059189,-87.794879,N OAK PARK AVE,1100 N OAK PARK AVE,25.5,b20d4dab-e381-4283-8b90-62bfa6d09126
5714,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,11,30,30,41.9057833,-87.7948888,N OAK PARK AVE,1100 N OAK PARK AVE,21.9,55970ccb-0507-4cfb-a9b0-759a98ffed15
