objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
2596,305-307 S EUCLID AVE,,,,,,,American Foursquare,,duplex,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,Porch columns replaced with new wood columns; two-story garage completed in 2016.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20941__ILLINOIS_COOK__(305-307-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20941__ILLINOIS_COOK__(305-307-S-Euclid-Ave).pdf,41.8830117,-87.7931744,Ridgeland - Oak Park
2597,324 S EUCLID AVE,,,Eben E. Roberts,,,Arthur J. Lloyd,Prairie School,Mission/Spanish Revival,foursquare,1910-1919,1910,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was designed by Eben E. Roberts and constructed around 1910 for owner Arthur J. Lloyd.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20921__ILLINOIS_COOK__(324-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20921__ILLINOIS_COOK__(324-S-Euclid-Ave).pdf,41.882508,-87.7922609,Ridgeland - Oak Park
2598,416 S EUCLID AVE,,,,Higgens & Company,,J. Garber,Prairie School,,foursquare,1910-1919,1914,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20949__ILLINOIS_COOK__(416-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20949__ILLINOIS_COOK__(416-S-Euclid-Ave).pdf,41.8808592,-87.7922033,Ridgeland - Oak Park
2599,800 S EUCLID AVE,,,,Johnson Brothers,,Johnson Brothers,Craftsman,,Two-Flat,1910-1919,1911,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/83__ILLINOIS_COOK__(800-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0083__ILLINOIS_COOK__(800-S-Euclid-Ave).pdf,41.874171,-87.7925299,
2600,804 S EUCLID AVE,,,,Johnson Brothers,,Johnson Brothers,,Craftsman,Two-Flat,1910-1919,1910,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/84__ILLINOIS_COOK__(804-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0084__ILLINOIS_COOK__(804-S-Euclid-Ave).pdf,41.874077,-87.7925336,
2601,808 S EUCLID AVE,,,,Bert Carey,,A. L. Bunce,,Craftsman,foursquare,1910-1919,1919,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/85__ILLINOIS_COOK__(808-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0085__ILLINOIS_COOK__(808-S-Euclid-Ave).pdf,41.8739709,-87.792531,
2602,810 S EUCLID AVE,,,,,,,Craftsman,,bungalow,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/89__ILLINOIS_COOK__(810-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0089__ILLINOIS_COOK__(810-S-Euclid-Ave).pdf,41.873859,-87.7925242,
2603,815 S EUCLID AVE,,,,,,,,,Two-Flat,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/108__ILLINOIS_COOK__(815-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0108__ILLINOIS_COOK__(815-S-Euclid-Ave).pdf,41.87367,-87.793072,
2604,816 S EUCLID AVE,,,,T. A. Holm,,T. A. Holm,Craftsman,,bungalow,1910-1919,1915,,Village of Oak Park Building Permit Archive,Non-Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/93__ILLINOIS_COOK__(816-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0093__ILLINOIS_COOK__(816-S-Euclid-Ave).pdf,41.873692,-87.7925139,
2605,818 S EUCLID AVE,,,,,,,Craftsman,,foursquare,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/94__ILLINOIS_COOK__(818-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0094__ILLINOIS_COOK__(818-S-Euclid-Ave).pdf,41.873607,-87.7925056,
2606,819 S EUCLID AVE,,,,,,,Craftsman,,Two-Flat,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/109__ILLINOIS_COOK__(819-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0109__ILLINOIS_COOK__(819-S-Euclid-Ave).pdf,41.873577,-87.7930664,
2607,820 S EUCLID AVE,,,,Harry A. Cotton & Co.,,S. G. Selleck,Craftsman,,bungalow,1910-1919,1912,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/96__ILLINOIS_COOK__(820-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0096__ILLINOIS_COOK__(820-S-Euclid-Ave).pdf,41.873521,-87.7925079,
2608,821 S EUCLID AVE,,,,Ed Holmsted,,B. Gunther,Classical Revival,,Two-Flat,1910-1919,1912,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/110__ILLINOIS_COOK__(821-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0110__ILLINOIS_COOK__(821-S-Euclid-Ave).pdf,41.873488,-87.793058,
2609,823 S EUCLID AVE,,,,,,,Greek Revival,,Two-Flat,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/111__ILLINOIS_COOK__(823-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0111__ILLINOIS_COOK__(823-S-Euclid-Ave).pdf,41.8733954,-87.7930595,
2610,824 S EUCLID AVE,,,,Bert Clapp,,Bert Clapp,Craftsman,,gable front,1910-1919,1914,documented,Oak Park Building Permits,Non-Contributing,No,No,No,,No,No,No,,,,Significant alteration and second floor addition in 2008,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/97__ILLINOIS_COOK__(824-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0097__ILLINOIS_COOK__(824-S-Euclid-Ave).pdf,41.873415,-87.7925093,
2611,827 S EUCLID AVE,,,,,,,Craftsman,,Two-Flat,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/112__ILLINOIS_COOK__(827-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0112__ILLINOIS_COOK__(827-S-Euclid-Ave).pdf,41.873306,-87.7930434,
2612,830 S EUCLID AVE,,,,Alan McConachie,,Alan McConachie,,,foursquare,1910-1919,1916,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/100__ILLINOIS_COOK__(830-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0100__ILLINOIS_COOK__(830-S-Euclid-Ave).pdf,41.873205,-87.7924942,
2613,832 S EUCLID AVE,,,,J. Horne,,A. McConachie,Craftsman,,bungalow,1910-1919,1917,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/101__ILLINOIS_COOK__(832-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0101__ILLINOIS_COOK__(832-S-Euclid-Ave).pdf,41.873128,-87.7924926,
2614,834 S EUCLID AVE,,,,Alan McConachie,,Alan McConachie,,,foursquare,1910-1919,1917,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/102__ILLINOIS_COOK__(834-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0102__ILLINOIS_COOK__(834-S-Euclid-Ave).pdf,41.8730559,-87.7924913,
2615,928 S EUCLID AVE,,,,C. W. Lelicorth,,C. W. Lelicorth,,Craftsman,Two-Flat,1910-1919,,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/312__ILLINOIS_COOK__(928-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0312__ILLINOIS_COOK__(928-S-Euclid-Ave).pdf,41.871419,-87.7924682,
2616,930 S EUCLID AVE,,,,C. W. Lelicorth,,William Rittmeyer,,Craftsman,Two-Flat,1910-1919,1914,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/311__ILLINOIS_COOK__(930-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0311__ILLINOIS_COOK__(930-S-Euclid-Ave).pdf,41.871341,-87.792454,
2617,932 S EUCLID AVE,,,,E. M. Lutz,,E. M. Lutz,Craftsman,,gable front,1910-1919,1913,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/310__ILLINOIS_COOK__(932-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0310__ILLINOIS_COOK__(932-S-Euclid-Ave).pdf,41.8712669,-87.7924604,
2618,933 S EUCLID AVE,,,,Charles F. Haas,,Charles F. Haas,,,foursquare,1910-1919,1914,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/292__ILLINOIS_COOK__(933-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0292__ILLINOIS_COOK__(933-S-Euclid-Ave).pdf,41.8712511,-87.7930058,
2619,936 S EUCLID AVE,,,,John Chupka,,John Chupka,Craftsman,,bungalow,1910-1919,1914,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/309__ILLINOIS_COOK__(936-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0309__ILLINOIS_COOK__(936-S-Euclid-Ave).pdf,41.871194,-87.7924637,
2620,937 S EUCLID AVE,,,,,,,,,bungalow,1910-1919,1914,approximate,There are no original permits on file with the Village of Oak Park,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/293__ILLINOIS_COOK__(937-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0293__ILLINOIS_COOK__(937-S-Euclid-Ave).pdf,41.871148,-87.7929971,
2621,938 S EUCLID AVE,,,,John Chupka,,John Chupka,Craftsman,,bungalow,1910-1919,1915,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/308__ILLINOIS_COOK__(938-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0308__ILLINOIS_COOK__(938-S-Euclid-Ave).pdf,41.871107,-87.7924554,
2622,940 S EUCLID AVE,,,,J. C. Cronkticks (?),,J. C. Cronkticks (?),Craftsman,,bungalow,1910-1919,1913,,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/307__ILLINOIS_COOK__(940-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0307__ILLINOIS_COOK__(940-S-Euclid-Ave).pdf,41.87103,-87.792447,
2623,942 S EUCLID AVE,,,,Harry A. Cotton & Co.,,William E. Marks,Craftsman,,bungalow,1910-1919,1913,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/306__ILLINOIS_COOK__(942-S-Euclid-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0306__ILLINOIS_COOK__(942-S-Euclid-Ave).pdf,41.870936,-87.7924537,
2624,501 FAIR OAKS AVE,,,,J. Linder,,Miss Green,Prairie School,,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16208__ILLINOIS_COOK__(501-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16208__ILLINOIS_COOK__(501-Fair-Oaks-Ave).pdf,41.894691,-87.7884772,Frank Lloyd Wright
2625,505 FAIR OAKS AVE,,,,,,,Prairie School,,Two-Flat,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16209__ILLINOIS_COOK__(505-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16209__ILLINOIS_COOK__(505-Fair-Oaks-Ave).pdf,41.89481,-87.788504,Frank Lloyd Wright
2626,525 FAIR OAKS AVE,,,Tallmadge and Watson,Guy and McClintock,,John R. Magill,Colonial Revival,,,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16218__ILLINOIS_COOK__(525-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16218__ILLINOIS_COOK__(525-Fair-Oaks-Ave).pdf,41.895456,-87.7884913,Frank Lloyd Wright
2627,526 FAIR OAKS AVE,,,Eben E. Roberts,F. H. Kiefer,,F. H. Kiefer,Prairie School,,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16219__ILLINOIS_COOK__(526-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16219__ILLINOIS_COOK__(526-Fair-Oaks-Ave).pdf,41.895513,-87.7877641,Frank Lloyd Wright
2628,530 FAIR OAKS AVE,,,,,,,Prairie School,,foursquare,1910-1919,1910,approximate,Permit for 1912 garage on file,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16220__ILLINOIS_COOK__(530-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16220__ILLINOIS_COOK__(530-Fair-Oaks-Ave).pdf,41.895657,-87.7877874,Frank Lloyd Wright
2629,535 FAIR OAKS AVE,,,,J. E. Sexsmith,,L. O. Stanton,Craftsman,Tudor Revival,,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16224__ILLINOIS_COOK__(535-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16224__ILLINOIS_COOK__(535-Fair-Oaks-Ave).pdf,41.89592,-87.7885217,Frank Lloyd Wright
2630,547 FAIR OAKS AVE,Charles H. Canode House,,Fox and Fox,Van Sickle-Helfer Company,,Charles H. Canode,Neo-Classical,,,1910-1919,1915,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16227__ILLINOIS_COOK__(547-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16227__ILLINOIS_COOK__(547-Fair-Oaks-Ave).pdf,41.896123,-87.788581,Frank Lloyd Wright
2631,611 FAIR OAKS AVE,,,Tallmadge and Watson,Johnson and Company,,William V. Carroll,Prairie School,,,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16344__ILLINOIS_COOK__(611-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16344__ILLINOIS_COOK__(611-Fair-Oaks-Ave).pdf,41.896758,-87.7885808,Frank Lloyd Wright
2632,704 FAIR OAKS AVE,,,,G. Johnson,,W. L. Dilfurth,Craftsman,Shingle Style,foursquare,1910-1919,1914,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Frank Lloyd Wright Historic District Survey 2007,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17281__ILLINOIS_COOK__(704-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17281__ILLINOIS_COOK__(704-Fair-Oaks-Ave).pdf,41.898497,-87.7878845,Frank Lloyd Wright
2633,710 FAIR OAKS AVE,,,,Benson and Peterson,,Olivia Benson,Prairie School,,foursquare,1910-1919,1917,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17444__ILLINOIS_COOK__(710-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17444__ILLINOIS_COOK__(710-Fair-Oaks-Ave).pdf,41.898619,-87.7878604,Frank Lloyd Wright
2634,718 FAIR OAKS AVE,,,,Harper and Butendorff,,H. R. Shipman,Prairie School,,foursquare,1910-1919,1918,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17445__ILLINOIS_COOK__(718-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17445__ILLINOIS_COOK__(718-Fair-Oaks-Ave).pdf,41.898886,-87.787871,Frank Lloyd Wright
2635,721 FAIR OAKS AVE,,,,Thilo H. Toll,,Toll and Braese,Colonial Revival,,,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Frank Lloyd Wright Historic District Survey 2007,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17285__ILLINOIS_COOK__(721-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17285__ILLINOIS_COOK__(721-Fair-Oaks-Ave).pdf,41.8989969,-87.7885863,Frank Lloyd Wright
2636,722 FAIR OAKS AVE,,,,L. E. Andrews,,L. E. Andrews,Prairie School,,foursquare,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Frank Lloyd Wright Historic District Survey 2007,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17286__ILLINOIS_COOK__(722-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17286__ILLINOIS_COOK__(722-Fair-Oaks-Ave).pdf,41.8990258,-87.7878944,Frank Lloyd Wright
2637,727 FAIR OAKS AVE,,,,Thilo H. Toll,,Toll and Braese,Colonial Revival,,,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17450__ILLINOIS_COOK__(727-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17450__ILLINOIS_COOK__(727-Fair-Oaks-Ave).pdf,41.899141,-87.7886104,Frank Lloyd Wright
2638,730 FAIR OAKS AVE,,,,C. H. Schuman,,E. C. Shatman,Tudor Revival,Prairie School,foursquare,1910-1919,1910,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17447__ILLINOIS_COOK__(730-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17447__ILLINOIS_COOK__(730-Fair-Oaks-Ave).pdf,41.8993,-87.7878893,Frank Lloyd Wright
2639,731 FAIR OAKS AVE,,,George Pearson,George E. Bellock,,D. Burroughs,Colonial Revival,Prairie School,,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17451__ILLINOIS_COOK__(731-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17451__ILLINOIS_COOK__(731-Fair-Oaks-Ave).pdf,41.8993365,-87.7886008,Frank Lloyd Wright
2640,734 FAIR OAKS AVE,,,,C. H. Schuman,,C. H. Schuman,Prairie School,,foursquare,1910-1919,1915,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",734 Fair Oaks Ave was built in 1915 by owner/builder C. H. Schuman. A frame garage was built in the same year.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17448__ILLINOIS_COOK__(734-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17448__ILLINOIS_COOK__(734-Fair-Oaks-Ave).pdf,41.8994409,-87.78788,Frank Lloyd Wright
2641,741 FAIR OAKS AVE,Otto L. Toll House,,White and Christie,H. Lemke and Son,,Otto L. Toll,Tudor Revival,Prairie School,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970 / Frank Lloyd Wright Historic District Survey, 2007",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17452__ILLINOIS_COOK__(741-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17452__ILLINOIS_COOK__(741-Fair-Oaks-Ave).pdf,41.8996389,-87.7886523,Frank Lloyd Wright
2642,800 FAIR OAKS AVE,,,,Harper and Butendorff,,Walter Reeves,Prairie School,,foursquare,1910-1919,1915,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17453__ILLINOIS_COOK__(800-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17453__ILLINOIS_COOK__(800-Fair-Oaks-Ave).pdf,41.9000292,-87.7879328,Frank Lloyd Wright
