objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
1458,220 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Queen Anne,Shingle Style,gable front,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1904 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21263__ILLINOIS_COOK__(220-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21263__ILLINOIS_COOK__(220-S-Humphrey-Ave).pdf,41.8845238,-87.7761219,Ridgeland - Oak Park
1459,221 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21204__ILLINOIS_COOK__(221-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21204__ILLINOIS_COOK__(221-S-Humphrey-Ave).pdf,41.8844976,-87.7767753,Ridgeland - Oak Park
1460,225 S HUMPHREY AVE,,,,F. A. Hill,F. A. Hill,F. A. Hill,Craftsman,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,225 S Humphrey was built in 1903 by the developer F. A. Hill. F. A. Hill & Company was a prominent realtor and real estate developer in Austin and Oak Park in the late 19th and early 20th centuries. Much of what they developed in Oak Park was located on the east side of the Village. They built a large portion of houses on S Humphrey and S Cuyler Avenues between 1903 and 1914. These include a number of American Foursquare houses on the 200 block of S Humphrey. Many of these houses feature vernacular Prairie elements or Queen Anne characteristics. The first floor of 225 S Humphrey was remodeled in 1951 to provide a new powder room. â€œOther inside alterationsâ€ are also cited at this time. These may have included alterations to the north elevation; an in-wall air conditioner was added and one of the windows was filled in with glass block.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/22087__ILLINOIS_COOK__(225-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/22087__ILLINOIS_COOK__(225-S-Humphrey-Ave).pdf,41.8843806,-87.7767368,Ridgeland - Oak Park
1461,300 S HUMPHREY AVE,,,,Charles Anderson,,F. A. Hill & Co,Queen Anne,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1903 by Charles Anderson.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21268__ILLINOIS_COOK__(300-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21268__ILLINOIS_COOK__(300-S-Humphrey-Ave).pdf,41.8838632,-87.776045,Ridgeland - Oak Park
1462,302 S HUMPHREY AVE,,,,J. H. Stephens,,J. H. Stephens,Prairie School,,foursquare,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1907 by and for J. H. Stephens.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21269__ILLINOIS_COOK__(302-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21269__ILLINOIS_COOK__(302-S-Humphrey-Ave).pdf,41.8837762,-87.7760546,Ridgeland - Oak Park
1463,306 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1903 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21271__ILLINOIS_COOK__(306-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21271__ILLINOIS_COOK__(306-S-Humphrey-Ave).pdf,41.8836489,-87.7759874,Ridgeland - Oak Park
1464,323 S HUMPHREY AVE,,,,,,,,,foursquare,1900-1909,1900,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,323 S Humphrey Ave is a contributing building within the Ridgeland-Oak Park Historic District. There is no original permit on file.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21211__ILLINOIS_COOK__(323-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21211__ILLINOIS_COOK__(323-S-Humphrey-Ave).pdf,41.8831012,-87.7767368,Ridgeland - Oak Park
1465,327 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21212__ILLINOIS_COOK__(327-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21212__ILLINOIS_COOK__(327-S-Humphrey-Ave).pdf,41.8829454,-87.7766984,Ridgeland - Oak Park
1466,334 S HUMPHREY AVE,,,,Arthur C. Leuder,,Arthur C. Leuder,Prairie School,,foursquare,1900-1909,1902,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1902 by and for Arthur C. Leuder.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21278__ILLINOIS_COOK__(334-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21278__ILLINOIS_COOK__(334-S-Humphrey-Ave).pdf,41.8827002,-87.776045,Ridgeland - Oak Park
1467,335 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21214__ILLINOIS_COOK__(335-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21214__ILLINOIS_COOK__(335-S-Humphrey-Ave).pdf,41.882712,-87.77666,Ridgeland - Oak Park
