tax_year,agency_id,agency_code,agency_name,agency_label,agency_type,eav,total_levy,final_rate,extension,oak_park_eav_share,oak_park_extension,report_format,source_pdf,note
2019,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1692471417,10802940,0.628,10628720.50,1.0,10628720.50,legacy,050760000_2019.pdf,
2020,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,2028681978,3692774,0.183,3712488.02,1.0,3712488.02,legacy,020180000_2020.pdf,
2020,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,2028681978,141924,0.007,142007.74,1.0,142007.74,legacy,020180002_2020.pdf,
2020,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,2028681978,1640184,0.081,1643232.40,1.0,1643232.40,legacy,020180004_2020.pdf,
2020,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,2028681978,36102975,1.78,36110539.21,1.0,36110539.21,legacy,030920000_2020.pdf,
2020,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,2028681978,9740364,0.481,9757960.31,1.0,9757960.31,legacy,030920001_2020.pdf,
2020,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,2028681978,89213119,4.327,87781069.19,1.0,87781069.19,legacy,040580000_2020.pdf,
2020,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2669065662,73409473,2.751,73425996.36,0.760072,55809041.21,legacy,042020000_2020.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2020,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,2028681978,11098947,0.532,10792588.12,1.0,10792588.12,legacy,050760000_2020.pdf,
2021,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1870149740,3754184,0.201,3759000.98,1.0,3759000.98,legacy,020180000_2021.pdf,
2021,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,1870149740,146576,0.008,149611.98,1.0,149611.98,legacy,020180002_2021.pdf,
2021,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1870149740,1664017,0.089,1664433.27,1.0,1664433.27,legacy,020180004_2021.pdf,
2021,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1870149740,37184573,1.989,37197278.33,1.0,37197278.33,legacy,030920000_2021.pdf,
2021,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1870149740,10032575,0.537,10042704.10,1.0,10042704.10,legacy,030920001_2021.pdf,
2021,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1870149740,91482669,4.777,89337053.08,1.0,89337053.08,legacy,040580000_2021.pdf,
2021,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2464469279,74842073,3.037,74845932.00,0.758845,56796447.60,legacy,042020000_2021.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2021,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1870149740,11419433,0.59,11033883.47,1.0,11033883.47,legacy,050760000_2021.pdf,
2022,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1830646053,3729195,0.204,3734517.95,1.0,3734517.95,legacy,020180000_2022.pdf,
2022,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,1830646053,377557,0.021,384435.67,1.0,384435.67,legacy,020180002_2022.pdf,
2022,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1830646053,1751400,0.096,1757420.21,1.0,1757420.21,legacy,020180004_2022.pdf,
2022,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1830646053,37186863,2.032,37198727.80,1.0,37198727.80,legacy,030920000_2022.pdf,
2022,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1830646053,10534203,0.576,10544521.27,1.0,10544521.27,legacy,030920001_2022.pdf,
2022,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1830646053,96255459,5.135,94003674.82,1.0,94003674.82,legacy,040580000_2022.pdf,
2022,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2409559537,77805794,3.23,77828773.05,0.759743,59129867.52,legacy,042020000_2022.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2022,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1830646053,11990405,0.636,11642908.90,1.0,11642908.90,legacy,050760000_2022.pdf,
2023,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,2361857488,3697584,0.157,3708116.26,1.0,3708116.26,legacy,020180000_2023.pdf,
2023,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,2361857488,608878,0.026,614082.95,1.0,614082.95,legacy,020180002_2023.pdf,
2023,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,2361857488,1837622,0.078,1842248.84,1.0,1842248.84,legacy,020180004_2023.pdf,
2023,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,2361857488,38307214,1.622,38309328.46,1.0,38309328.46,legacy,030920000_2023.pdf,
2023,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,2361857488,11376940,0.482,11384153.09,1.0,11384153.09,legacy,030920001_2023.pdf,
2023,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,2361857488,101312969,4.192,99009065.90,1.0,99009065.90,legacy,040580000_2023.pdf,
