pin,year,class,township_code,township_name,nbhd,mailed_bldg,mailed_land,mailed_tot,certified_bldg,certified_land,certified_tot,board_bldg,board_land,board_tot,building_sqft,land_sqft,year_built,units,beds,full_baths,half_baths,cards,residential_type,sqft_source,condo_building_sqft,condo_pct_ownership,condo_est_unit_sqft,is_parking_or_common,prop_address,prop_city,prop_zip,address_year
16063080040000,2026,203,27,Oak Park,27020,34239,9761,44000,34239,9761,44000,,,,1152,5742,1898,1,3,1,1,1,1.5 Story,improvement,,,,,730 N MARION ST,OAK PARK,60302,2026
16063080050000,2026,211,27,Oak Park,27020,49760,11240,61000,44783,11240,56023,,,,2146,6612,1899,2,4,2,0,1,2 Story,improvement,,,,,728 N MARION ST,OAK PARK,60302,2026
16063080060000,2026,211,27,Oak Park,27020,41647,10353,52000,41647,10353,52000,,,,1968,6090,1894,2,4,2,0,1,2 Story,improvement,,,,,724 N MARION ST,OAK PARK,60302,2026
16063080070000,2026,211,27,Oak Park,27020,59210,14790,74000,59210,14790,74000,,,,3418,8700,1889,2,4,2,0,1,2 Story,improvement,,,,,720 N MARION ST,OAK PARK,60302,2026
16063080080000,2026,204,27,Oak Park,27020,50168,11832,62000,50168,11832,62000,,,,1811,6960,1910,1,3,1,1,1,1.5 Story,improvement,,,,,718 N MARION ST,OAK PARK,60302,2026
16063080090000,2026,203,27,Oak Park,27020,46168,11832,58000,41168,11832,53000,,,,1547,6960,1914,1,3,2,1,1,1 Story,improvement,,,,,714 N MARION ST,OAK PARK,60302,2026
16063080100000,2026,206,27,Oak Park,27020,75534,9466,85000,75534,9466,85000,,,,2840,5568,1895,1,4,2,1,1,2 Story,improvement,,,,,710 N MARION ST,OAK PARK,60302,2026
16063080110000,2026,278,27,Oak Park,27020,110210,14790,125000,110210,14790,125000,,,,3469,8700,2010,1,4,2,1,1,2 Story,improvement,,,,,708 N MARION ST,OAK PARK,60302,2026
16063080130000,2026,205,27,Oak Park,27020,53146,6854,60000,53146,6854,60000,,,,1781,4032,1918,1,3,2,0,1,2 Story,improvement,,,,,1045 THOMAS ST,OAK PARK,60302,2026
16063080140000,2026,205,27,Oak Park,27020,64004,8996,73000,64004,8996,73000,,,,2122,5292,1918,1,4,2,0,1,2 Story,improvement,,,,,747 BELLEFORTE AVE,OAK PARK,60302,2026
