geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,B15003_001,Total,36456,429,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,B15003_022,Total > Bachelor's degree,11069,560,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,B15003_023,Total > Master's degree,8970,463,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,B15003_024,Total > Professional school degree,3176,281,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,B15003_025,Total > Doctorate degree,1848,298,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B19013,B19013_001,Median household income in the past 12 months (in 2017 inflation-adjusted dollars),87271,3755,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25003,B25003_001,Total,21529,390,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25003,B25003_002,Total > Owner occupied,12537,352,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25003,B25003_003,Total > Renter occupied,8992,326,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_001,Total,23139,482,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_002,Total > Built 2014 or later,92,67,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_003,Total > Built 2010 to 2013,47,32,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_004,Total > Built 2000 to 2009,808,182,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_005,Total > Built 1990 to 1999,775,175,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_006,Total > Built 1980 to 1989,552,136,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_007,Total > Built 1970 to 1979,1471,249,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_008,Total > Built 1960 to 1969,1749,281,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_009,Total > Built 1950 to 1959,1699,247,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_010,Total > Built 1940 to 1949,1051,163,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,B25034_011,Total > Built 1939 or earlier,14895,492,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25064,B25064_001,Median gross rent,1102,38,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25077,B25077_001,Median value (dollars),370400,9516,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",25063,834.1,data.census.gov
"Oak Park village, Illinois",16000US1754885,2017,2013-2017,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14895,492,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B01002,B01002_001,Median age -- > Total,36.4,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B01003,B01003_001,Total,5238541,,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B03002,B03002_001,Total,5238541,,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2235598,845,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1226134,1995,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,363084,1695,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B03002,B03002_012,Total > Hispanic or Latino,1312304,,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,B15003_001,Total,3578782,65,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,B15003_022,Total > Bachelor's degree,796547,5396,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,B15003_023,Total > Master's degree,379704,4344,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,B15003_024,Total > Professional school degree,102530,2266,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,B15003_025,Total > Doctorate degree,52175,1654,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B19013,B19013_001,Median household income in the past 12 months (in 2017 inflation-adjusted dollars),59426,380,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25003,B25003_001,Total,1956561,3923,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25003,B25003_002,Total > Owner occupied,1112383,6648,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25003,B25003_003,Total > Renter occupied,844178,4596,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_001,Total,2183987,841,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_002,Total > Built 2014 or later,7911,616,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_003,Total > Built 2010 to 2013,17806,923,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_004,Total > Built 2000 to 2009,165795,2311,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_005,Total > Built 1990 to 1999,139106,1920,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_006,Total > Built 1980 to 1989,151462,2798,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_007,Total > Built 1970 to 1979,266747,3376,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_008,Total > Built 1960 to 1969,282468,3059,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_009,Total > Built 1950 to 1959,337660,3337,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_010,Total > Built 1940 to 1949,167016,2316,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,B25034_011,Total > Built 1939 or earlier,648016,4033,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25035,B25035_001,Median year structure built,1958,1,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25064,B25064_001,Median gross rent,1044,4,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25077,B25077_001,Median value (dollars),227400,975,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1330956,7473.8,data.census.gov
"Cook County, Illinois",05000US17031,2017,2013-2017,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),648016,4033,data.census.gov
Illinois,04000US17,2017,2013-2017,B01002,B01002_001,Median age -- > Total,37.7,0.1,data.census.gov
Illinois,04000US17,2017,2013-2017,B01003,B01003_001,Total,12854526,,data.census.gov
Illinois,04000US17,2017,2013-2017,B03002,B03002_001,Total,12854526,,data.census.gov
Illinois,04000US17,2017,2013-2017,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,7955484,1458,data.census.gov
Illinois,04000US17,2017,2013-2017,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1806398,3175,data.census.gov
Illinois,04000US17,2017,2013-2017,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,666890,2728,data.census.gov
Illinois,04000US17,2017,2013-2017,B03002,B03002_012,Total > Hispanic or Latino,2162070,231,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,B15003_001,Total,8666079,1108,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,B15003_022,Total > Bachelor's degree,1776326,9340,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,B15003_023,Total > Master's degree,823826,7411,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,B15003_024,Total > Professional school degree,187683,3004,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,B15003_025,Total > Doctorate degree,110749,2581,data.census.gov
Illinois,04000US17,2017,2013-2017,B19013,B19013_001,Median household income in the past 12 months (in 2017 inflation-adjusted dollars),61229,190,data.census.gov
Illinois,04000US17,2017,2013-2017,B25003,B25003_001,Total,4818452,9284,data.census.gov
Illinois,04000US17,2017,2013-2017,B25003,B25003_002,Total > Owner occupied,3185142,14651,data.census.gov
Illinois,04000US17,2017,2013-2017,B25003,B25003_003,Total > Renter occupied,1633310,7940,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_001,Total,5334847,800,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_002,Total > Built 2014 or later,21639,983,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_003,Total > Built 2010 to 2013,63426,1886,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_004,Total > Built 2000 to 2009,593867,4552,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_005,Total > Built 1990 to 1999,585906,3580,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_006,Total > Built 1980 to 1989,476937,4113,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_007,Total > Built 1970 to 1979,770540,5437,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_008,Total > Built 1960 to 1969,631074,4457,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_009,Total > Built 1950 to 1959,689088,4523,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_010,Total > Built 1940 to 1949,337429,3413,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,B25034_011,Total > Built 1939 or earlier,1164941,5972,data.census.gov
Illinois,04000US17,2017,2013-2017,B25035,B25035_001,Median year structure built,1968,1,data.census.gov
Illinois,04000US17,2017,2013-2017,B25064,B25064_001,Median gross rent,952,3,data.census.gov
Illinois,04000US17,2017,2013-2017,B25077,B25077_001,Median value (dollars),179700,492,data.census.gov
Illinois,04000US17,2017,2013-2017,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2898584,12563.6,data.census.gov
Illinois,04000US17,2017,2013-2017,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),1164941,5972,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B01002,B01002_001,Median age -- > Total,39.7,0.9,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B01003,B01003_001,Total,52225,42,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B03002,B03002_001,Total,52225,42,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,33206,971,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,9356,621,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2599,431,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B03002,B03002_012,Total > Hispanic or Latino,4580,673,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,B15003_001,Total,36637,481,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,B15003_022,Total > Bachelor's degree,11279,507,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,B15003_023,Total > Master's degree,8939,469,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,B15003_024,Total > Professional school degree,3251,287,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,B15003_025,Total > Doctorate degree,2051,289,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B19013,B19013_001,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),91945,3579,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25003,B25003_001,Total,21684,365,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25003,B25003_002,Total > Owner occupied,12680,391,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25003,B25003_003,Total > Renter occupied,9004,378,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_001,Total,23380,447,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_002,Total > Built 2014 or later,139,89,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_003,Total > Built 2010 to 2013,55,32,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_004,Total > Built 2000 to 2009,904,202,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_005,Total > Built 1990 to 1999,782,195,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_006,Total > Built 1980 to 1989,570,184,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_007,Total > Built 1970 to 1979,1620,260,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_008,Total > Built 1960 to 1969,1938,256,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_009,Total > Built 1950 to 1959,1757,234,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_010,Total > Built 1940 to 1949,1089,210,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,B25034_011,Total > Built 1939 or earlier,14526,552,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25064,B25064_001,Median gross rent,1147,33,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25077,B25077_001,Median value (dollars),374500,8873,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",25520,801.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2018,2014-2018,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14526,552,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B01002,B01002_001,Median age -- > Total,36.6,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B01003,B01003_001,Total,5223719,,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B03002,B03002_001,Total,5223719,,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2217734,830,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1213706,2336,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,372825,2153,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B03002,B03002_012,Total > Hispanic or Latino,1314232,,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,B15003_001,Total,3587029,97,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,B15003_022,Total > Bachelor's degree,811185,6956,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,B15003_023,Total > Master's degree,390991,4922,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,B15003_024,Total > Professional school degree,106016,2502,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,B15003_025,Total > Doctorate degree,53782,1683,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B19013,B19013_001,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),62088,368,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25003,B25003_001,Total,1963070,4298,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25003,B25003_002,Total > Owner occupied,1116759,6464,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25003,B25003_003,Total > Renter occupied,846311,5066,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_001,Total,2188394,934,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_002,Total > Built 2014 or later,13792,808,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_003,Total > Built 2010 to 2013,20783,908,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_004,Total > Built 2000 to 2009,165662,2610,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_005,Total > Built 1990 to 1999,140207,2425,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_006,Total > Built 1980 to 1989,151725,2455,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_007,Total > Built 1970 to 1979,264442,3033,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_008,Total > Built 1960 to 1969,280715,3330,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_009,Total > Built 1950 to 1959,333543,3217,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_010,Total > Built 1940 to 1949,169281,2761,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,B25034_011,Total > Built 1939 or earlier,648244,4181,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25035,B25035_001,Median year structure built,1958,1,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25064,B25064_001,Median gross rent,1091,4,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25077,B25077_001,Median value (dollars),237200,907,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1361974,9039.1,data.census.gov
"Cook County, Illinois",05000US17031,2018,2014-2018,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),648244,4181,data.census.gov
Illinois,04000US17,2018,2014-2018,B01002,B01002_001,Median age -- > Total,37.9,0.1,data.census.gov
Illinois,04000US17,2018,2014-2018,B01003,B01003_001,Total,12821497,,data.census.gov
Illinois,04000US17,2018,2014-2018,B03002,B03002_001,Total,12821497,,data.census.gov
Illinois,04000US17,2018,2014-2018,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,7894286,1461,data.census.gov
Illinois,04000US17,2018,2014-2018,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1796057,3855,data.census.gov
Illinois,04000US17,2018,2014-2018,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,685343,2738,data.census.gov
Illinois,04000US17,2018,2014-2018,B03002,B03002_012,Total > Hispanic or Latino,2174842,292,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,B15003_001,Total,8682343,1159,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,B15003_022,Total > Bachelor's degree,1801833,11249,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,B15003_023,Total > Master's degree,847698,7625,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,B15003_024,Total > Professional school degree,194142,3061,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,B15003_025,Total > Doctorate degree,114118,2441,data.census.gov
Illinois,04000US17,2018,2014-2018,B19013,B19013_001,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),63575,187,data.census.gov
Illinois,04000US17,2018,2014-2018,B25003,B25003_001,Total,4830038,9750,data.census.gov
Illinois,04000US17,2018,2014-2018,B25003,B25003_002,Total > Owner occupied,3189035,15471,data.census.gov
Illinois,04000US17,2018,2014-2018,B25003,B25003_003,Total > Renter occupied,1641003,8379,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_001,Total,5347268,727,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_002,Total > Built 2014 or later,38500,1473,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_003,Total > Built 2010 to 2013,72291,1693,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_004,Total > Built 2000 to 2009,592285,4963,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_005,Total > Built 1990 to 1999,588244,4291,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_006,Total > Built 1980 to 1989,478474,4354,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_007,Total > Built 1970 to 1979,772176,5131,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_008,Total > Built 1960 to 1969,624961,5147,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_009,Total > Built 1950 to 1959,681255,4120,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_010,Total > Built 1940 to 1949,336268,3803,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,B25034_011,Total > Built 1939 or earlier,1162814,6153,data.census.gov
Illinois,04000US17,2018,2014-2018,B25035,B25035_001,Median year structure built,1968,1,data.census.gov
Illinois,04000US17,2018,2014-2018,B25064,B25064_001,Median gross rent,984,3,data.census.gov
Illinois,04000US17,2018,2014-2018,B25077,B25077_001,Median value (dollars),187200,530,data.census.gov
Illinois,04000US17,2018,2014-2018,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2957791,14142.4,data.census.gov
Illinois,04000US17,2018,2014-2018,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),1162814,6153,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B01002,B01002_001,Median age -- > Total:,39.8,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B01003,B01003_001,Total,52233,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B03002,B03002_001,Total:,52233,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,33027,804,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,9334,636,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,2432,433,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B03002,B03002_012,Total: > Hispanic or Latino:,4662,534,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,B15003_001,Total:,36672,501,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,B15003_022,Total: > Bachelor's degree,11293,558,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,B15003_023,Total: > Master's degree,9284,497,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,B15003_024,Total: > Professional school degree,3069,302,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,B15003_025,Total: > Doctorate degree,2039,306,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),94646,3790,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25003,B25003_001,Total:,21603,450,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25003,B25003_002,Total: > Owner occupied,12852,393,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25003,B25003_003,Total: > Renter occupied,8751,421,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_001,Total:,23193,422,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_002,Total: > Built 2014 or later,309,100,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_003,Total: > Built 2010 to 2013,54,33,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_004,Total: > Built 2000 to 2009,967,198,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_005,Total: > Built 1990 to 1999,627,161,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_006,Total: > Built 1980 to 1989,571,147,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_007,Total: > Built 1970 to 1979,1672,277,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_008,Total: > Built 1960 to 1969,2210,281,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_009,Total: > Built 1950 to 1959,1500,199,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_010,Total: > Built 1940 to 1949,1081,211,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,B25034_011,Total: > Built 1939 or earlier,14202,484,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25064,B25064_001,Median gross rent,1175,25,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25077,B25077_001,Median value (dollars),387300,9078,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",25685,862.1,data.census.gov
"Oak Park village, Illinois",16000US1754885,2019,2015-2019,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14202,484,data.census.gov
"Cook County, Illinois",05000US17031,2019,2015-2019,B01002,B01002_001,Median age -- > Total:,36.8,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2019,2015-2019,B01003,B01003_001,Total,5198275,,data.census.gov
"Cook County, Illinois",05000US17031,2019,2015-2019,B03002,B03002_001,Total:,5198275,,data.census.gov
"Cook County, Illinois",05000US17031,2019,2015-2019,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,2198122,699,data.census.gov
"Cook County, Illinois",05000US17031,2019,2015-2019,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1199175,2132,data.census.gov
