geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Cook County, Illinois",05000US17031,2010,2006-2010,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,313605,1729,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B03002,B03002_012,Total > Hispanic or Latino,1202937,,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_001,Total,3413901,,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_015,Total > Male > Bachelor's degree,324024,3479,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_016,Total > Male > Master's degree,138313,2418,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_017,Total > Male > Professional school degree,53577,1424,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_018,Total > Male > Doctorate degree,23530,1032,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_032,Total > Female > Bachelor's degree,360879,3257,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_033,Total > Female > Master's degree,173096,2656,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_034,Total > Female > Professional school degree,39310,1293,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,B15002_035,Total > Female > Doctorate degree,19196,749,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B19013,B19013_001,Median household income in the past 12 months (in 2010 inflation-adjusted dollars),53942,289,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25003,B25003_001,Total,1936481,5069,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25003,B25003_002,Total > Owner occupied,1169991,6835,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25003,B25003_003,Total > Renter occupied,766490,4922,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_001,Total,2173433,1198,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_002,Total > Built 2005 or later,50057,1392,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_003,Total > Built 2000 to 2004,93343,1795,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_004,Total > Built 1990 to 1999,125255,2141,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_005,Total > Built 1980 to 1989,146131,2270,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_006,Total > Built 1970 to 1979,265670,3458,data.census.gov
